# India quality list — the durability half of the gate, maintained by hand.
#
# WHY THIS IS MANUAL
# yfinance serves 4 years of Indian financials. Rules 2, 3 and 8 need 10, 6 and
# 6 years respectively, so they cannot be computed — and those are the rules
# doing most of the work in the US gate (69% and 31% kill rates). A 4-year
# automated gate would look like the US one and mean something much weaker, so
# the durability half stays human until better data exists.
#
# HOW TO REFRESH (quarterly is plenty — fundamentals move four times a year)
# Paste this into the query box at screener.in/screen/new/ and copy the symbols
# that come back into the list below.
#
#   Market Capitalization > 5000 AND
#   Return on capital employed > 15 AND
#   Average return on capital employed 5Years > 15 AND
#   Debt to equity < 0.5 AND
#   Interest Coverage Ratio > 5 AND
#   Promoter holding > 40 AND
#   Pledged percentage < 5
#
# Screener uses ROCE (pre-tax) where this project uses ROIC (post-tax). Close
# enough as a first pass; it flatters companies with low effective tax rates.
#
# Promoter holding and pledge have no US equivalent and are worth keeping — a
# mandated quarterly disclosure, and pledged promoter stock is one of the
# cheapest distress signals available anywhere.
#
# One ticker per line, .NS suffix, comments after #.

# --- paste results below this line ---



# --- Screener.in run 2026-08-01, intersected with Nifty 500 ---
# 240 Screener passers x 354 non-financial Nifty names = 136 kept.
# Looser than the US gate (14%) because Screener covers rules 1,2,6,7 only.

3MINDIA.NS      # Diversified
ABB.NS          # Capital Goods
ABBOTINDIA.NS   # Healthcare
ACE.NS          # Capital Goods
AFFLE.NS        # Information Technology
AIAENG.NS       # Capital Goods
ALKEM.NS        # Healthcare
ANTHEM.NS       # Healthcare
ASTRAL.NS       # Capital Goods
BAYERCROP.NS    # Chemicals
BBTC.NS         # Fast Moving Consumer Goods
BEL.NS          # Capital Goods
BERGEPAINT.NS   # Consumer Durables
BIKAJI.NS       # Fast Moving Consumer Goods
BLS.NS          # Consumer Services
BLUEJET.NS      # Healthcare
BOSCHLTD.NS     # Automobile and Auto Components
BRITANNIA.NS    # Fast Moving Consumer Goods
BSOFT.NS        # Information Technology
CAPLIPOINT.NS   # Healthcare
CGPOWER.NS      # Capital Goods
CLEAN.NS        # Chemicals
COCHINSHIP.NS   # Capital Goods
COLPAL.NS       # Fast Moving Consumer Goods
CONCORDBIO.NS   # Healthcare
COROMANDEL.NS   # Chemicals
CPPLUS.NS       # Capital Goods
CUMMINSIND.NS   # Capital Goods
DABUR.NS        # Fast Moving Consumer Goods
DATAPATTNS.NS   # Capital Goods
DIVISLAB.NS     # Healthcare
DMART.NS        # Consumer Services
DOMS.NS         # Fast Moving Consumer Goods
ECLERX.NS       # Services
EICHERMOT.NS    # Automobile and Auto Components
EIDPARRY.NS     # Fast Moving Consumer Goods
ELECON.NS       # Capital Goods
EMCURE.NS       # Healthcare
EMMVEE.NS       # Capital Goods
ENDURANCE.NS    # Automobile and Auto Components
ENGINERSIN.NS   # Construction
ENRIN.NS        # Capital Goods
FORCEMOT.NS     # Automobile and Auto Components
GABRIEL.NS      # Automobile and Auto Components
GALLANTT.NS     # Capital Goods
GILLETTE.NS     # Fast Moving Consumer Goods
GLAND.NS        # Healthcare
GLAXO.NS        # Healthcare
GLENMARK.NS     # Healthcare
GODFRYPHLP.NS   # Fast Moving Consumer Goods
GODREJCP.NS     # Fast Moving Consumer Goods
GPIL.NS         # Capital Goods
GRAVITA.NS      # Metals & Mining
GRSE.NS         # Capital Goods
GVT&D.NS        # Capital Goods
HAL.NS          # Capital Goods
HAVELLS.NS      # Consumer Durables
HBLENGINE.NS    # Capital Goods
HCLTECH.NS      # Information Technology
HEXT.NS         # Information Technology
HINDCOPPER.NS   # Metals & Mining
HINDUNILVR.NS   # Fast Moving Consumer Goods
HONAUT.NS       # Capital Goods
HSCL.NS         # Chemicals
HYUNDAI.NS      # Automobile and Auto Components
IGIL.NS         # Services
IKS.NS          # Information Technology
INDIAMART.NS    # Consumer Services
IPCALAB.NS      # Healthcare
IRCTC.NS        # Consumer Services
JSL.NS          # Metals & Mining
JSWDULUX.NS     # Consumer Durables
KAJARIACER.NS   # Consumer Durables
KPRMILL.NS      # Textiles
LALPATHLAB.NS   # Healthcare
LATENTVIEW.NS   # Information Technology
LGEINDIA.NS     # Consumer Durables
LINDEINDIA.NS   # Chemicals
LTFOODS.NS      # Fast Moving Consumer Goods
